1 { 3183, 1397 }
2 { 3218, 1337 }
3 { 3226, 1522 }
4 { 3228, 1481 }
5 { 3200, 1465 }
6 { 3204, 1436 }
7 { 3141, 1401 }
8 { 3160, 1399 }
9 { 3177, 1420 }
10 { 3153, 1420 }
11 { 3211, 1394 }
12 { 3174, 1443 }
13 { 3175, 1473 }
14 { 3155, 1471 }
15 { 3213, 1415 }
16 { 3225, 1452 }
17 { 3203, 1501 }
18 { 3126, 1580 }
19 { 3137, 1532 }
20 { 3118, 1492 }
21 { 3110, 1529 }
22 { 3140, 1513 }
23 { 3139, 1491 }
24 { 3133, 1466 }
25 { 3145, 1444 }
26 { 3133, 1430 }
27 { 3239, 1390 }
28 { 3269, 1393 }
29 { 3280, 1414 }
30 { 3240, 1416 }
31 { 3261, 1415 }
32 { 3255, 1451 }
33 { 3291, 1433 }
34 { 3281, 1458 }
35 { 3285, 1510 }
36 { 3252, 1499 }
37 { 3178, 1540 }
38 { 3211, 1557 }
39 { 3181, 1589 }
40 { 3155, 1607 }
41 { 3061, 1679 }
42 { 3547, 1528 }
43 { 2931, 1449 }
44 { 2688, 2009 }
45 { 3254, 1948 }
46 { 2979, 2026 }
47 { 3461, 1837 }
48 { 3675, 2041 }
49 { 2314, 1551 }
50 { 1088, 1329 }
51 { -1341, 1824 }
52 { 3167, 1506 }
